,SHA,title,committer,commit additions,commit deletions,files changed,file sha,filename,file additions,file deletions,file changes,date
6027,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,1ee80423942496e931981a6645defba4d6596a61,dist/sweetalert2.common.js,37,20,57,2016-09-16 13:31:38
6028,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,ee8738b8f522800506c885faa8acd6e9cc19b596,dist/sweetalert2.css,2,0,2,2016-09-16 13:31:38
6029,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,ef5aa9deefc689d98c2d240a524a276bb4851192,dist/sweetalert2.js,37,20,57,2016-09-16 13:31:38
6030,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,584d7e79bd44db830f3d48be84e7ab8fefac9d17,dist/sweetalert2.min.css,1,1,2,2016-09-16 13:31:38
6031,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,ce42aa2f5c0a5488e0d822bbbad9caaebb309108,dist/sweetalert2.min.js,1,1,2,2016-09-16 13:31:38
6032,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,05115d157b356261b5e088ac26fd9d23f76d74dc,dist/sweetalert2.min.js.gz,0,0,0,2016-09-16 13:31:38
6033,6ed190126fd99cb9626f7a0e7e6fb0e071294d07,v4.3.3,Limon Monte,79,43,7,dbbc753c583ec7f40a17aad4607de46a8656aa81,package.json,1,1,2,2016-09-16 13:31:38
6034,46ded655319bd52cfb9a48f43cac36630713ea26,Fix #289,Limon Monte,61,18,4,4650bb36f7fc725ccc26292f50b5d61760f208a6,src/sweetalert2.js,33,16,49,2016-09-16 13:30:18
6035,46ded655319bd52cfb9a48f43cac36630713ea26,Fix #289,Limon Monte,61,18,4,cb93976ae31e75903cd24746762c720d33e9a6d4,src/sweetalert2.scss,2,0,2,2016-09-16 13:30:18
6036,46ded655319bd52cfb9a48f43cac36630713ea26,Fix #289,Limon Monte,61,18,4,3cf448ae7bc032c306739117f04d47bb6e67d77b,src/utils/default.js,2,2,4,2016-09-16 13:30:18
6037,46ded655319bd52cfb9a48f43cac36630713ea26,Fix #289,Limon Monte,61,18,4,0b7b8993a4628f592bde10ce29dff777b246b3d9,test/tests.js,24,0,24,2016-09-16 13:30:18
6038,ab810eeabe0031ba05227c7967803d4827d74678,Remove 'test' task from scss Gulp watcher,Limon Monte,3,3,1,c5f141b25d4b768c203179a050f86bdd15a2eedc,gulpfile.js,3,3,6,2016-09-16 12:21:17
6039,e713c6c8bd5876f96163dce26f55465de4b88f9c,Set config_file: .eslintrc in .hound.yml,Limon Monte,1,0,1,8530e42210fcf0751352f072f8fe32074293c2aa,.hound.yml,1,0,1,2016-09-16 11:15:47
6040,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,802f0ae996765614d6dbf67fa9727ef2501ad17f,dist/sweetalert2.common.js,39,11,50,2016-09-16 10:01:26
6041,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,5fa0be4f60ba0095292217c76cd7e56af67d56c5,dist/sweetalert2.css,14,2,16,2016-09-16 10:01:26
6042,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,854c293cafdc33db3628f5648a4c28e55389823b,dist/sweetalert2.js,39,11,50,2016-09-16 10:01:26
6043,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,ea5bf82e13a3feddbb44863f57c3c472e8f6237c,dist/sweetalert2.min.css,1,1,2,2016-09-16 10:01:26
6044,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,025f4c88f4660ed143641f5cd3744809f8cba689,dist/sweetalert2.min.js,1,1,2,2016-09-16 10:01:26
6045,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,7584856b5426f5acde6c5f9513f4840f5dcc19af,dist/sweetalert2.min.js.gz,0,0,0,2016-09-16 10:01:26
6046,76e69ee13ef1cc54d40f8ffbf2635ff6a8aaea25,v4.3.2,Limon Monte,95,27,7,6b1fbb5f3f8c3750c2b9e25a4037cc93c2977b46,package.json,1,1,2,2016-09-16 10:01:26
6047,c39c1df2eac06b1a0fdb18d3c7a08f90f89e9142,Improve input[type=range] by adding the output beside the input,Limon Monte,54,13,4,b90d739de77e8e9cfe503a6da6e1e4a8f824d609,index.html,1,1,2,2016-09-16 09:59:41
6048,c39c1df2eac06b1a0fdb18d3c7a08f90f89e9142,Improve input[type=range] by adding the output beside the input,Limon Monte,54,13,4,7d2ad2cf365b648e8b461e86a6617e6d19e1d9fb,src/sweetalert2.js,32,9,41,2016-09-16 09:59:41
6049,c39c1df2eac06b1a0fdb18d3c7a08f90f89e9142,Improve input[type=range] by adding the output beside the input,Limon Monte,54,13,4,d990769164a721a71066f72cdb750e57f58571cd,src/sweetalert2.scss,20,2,22,2016-09-16 09:59:41
6050,c39c1df2eac06b1a0fdb18d3c7a08f90f89e9142,Improve input[type=range] by adding the output beside the input,Limon Monte,54,13,4,a4b2d73ab36c880dfa91f96c8cf54f55e4deb1bc,src/utils/default.js,1,1,2,2016-09-16 09:59:41
6051,e0fe60833b5e880ad3733fc2c7c934983237b4bc,Add input[type=range] markup,Limon Monte,5,0,2,05c918ee1b5a7d66d2106f3b12f297dc403a5eb1,src/utils/classes.js,1,0,1,2016-09-16 09:12:19
6052,e0fe60833b5e880ad3733fc2c7c934983237b4bc,Add input[type=range] markup,Limon Monte,5,0,2,0550f6a52a677c6d46063b3d600cc2a95428548f,src/utils/default.js,4,0,4,2016-09-16 09:12:19
6053,3f303bf9cfafe63f7986316a14508a00c00eba1d,"Update range example, how it should be",Limon Monte,4,10,1,d90ae5378989ae547b4c685a1bddfa5e54c7fcd1,index.html,4,10,14,2016-09-16 09:11:26
6054,993ba581f504e7cd51d8b08ebaca971a404663fb,Small conding style fix in .travis.yml,Limon Monte,5,1,1,5b49126c5146939faafba1abd247269121efb42b,.travis.yml,5,1,6,2016-09-16 09:10:50
6055,5b1ebe89e73660c681956e1bf480c0a91d4ed880,Remove PayPal button until I move to EU,Limon Monte,1,1,1,de1f871fe713d7b3407ef7a5bd19b43801ad8584,README.md,1,1,2,2016-09-15 12:52:37
6056,3549565feb2e3f743f18a5b6f6880595a9c36d7e,Add PayPal donate button to README.md,Limon Monte,1,1,1,191ee40148e4957d59201b7ac1fcfcc1a56d0bb1,README.md,1,1,2,2016-09-15 12:22:30
6057,ea043a86d6af1c1661d8321cefc55f928cd14e3b,v4.3.1,Limon Monte,20,16,5,fb1590f18222a1a32cb841b52a3a83e3fd14b84d,dist/sweetalert2.common.js,9,7,16,2016-09-15 10:17:14
6058,ea043a86d6af1c1661d8321cefc55f928cd14e3b,v4.3.1,Limon Monte,20,16,5,2928e40e390bef2fc550df7b8200dc0bd6914657,dist/sweetalert2.js,9,7,16,2016-09-15 10:17:14
6059,ea043a86d6af1c1661d8321cefc55f928cd14e3b,v4.3.1,Limon Monte,20,16,5,11cb094e8afe557fe6de37223fc9eb3e0ae525f6,dist/sweetalert2.min.js,1,1,2,2016-09-15 10:17:14
6060,ea043a86d6af1c1661d8321cefc55f928cd14e3b,v4.3.1,Limon Monte,20,16,5,850a1bf19e4720ca8c4eccee0efea6bf3035d950,dist/sweetalert2.min.js.gz,0,0,0,2016-09-15 10:17:14
6061,ea043a86d6af1c1661d8321cefc55f928cd14e3b,v4.3.1,Limon Monte,20,16,5,b347e055c96fff38c490fcea10058237d52869a1,package.json,1,1,2,2016-09-15 10:17:14
6062,34f82f1ea6333e6f88c91d53a8615625b006a06a,Fix #287,Limon Monte,4,2,2,ebf1621b3a409aa2d94432335a4f0ac675d86ccf,index.html,1,1,2,2016-09-15 10:16:44
6063,34f82f1ea6333e6f88c91d53a8615625b006a06a,Fix #287,Limon Monte,4,2,2,9ad5f0c41f191961c49f53bee4d80b4a27c44019,src/sweetalert2.js,3,1,4,2016-09-15 10:16:44
6064,474915496d624c7154deccc0287da9c02256e36c,Make currentProgressStep param smarter by getting the default value from swal.getQueueStep(),Limon Monte,15,22,4,de1f871fe713d7b3407ef7a5bd19b43801ad8584,README.md,1,1,2,2016-09-15 08:13:30
6065,474915496d624c7154deccc0287da9c02256e36c,Make currentProgressStep param smarter by getting the default value from swal.getQueueStep(),Limon Monte,15,22,4,2fc66641975ec2f2f89bc9d90168e09b6c9ee405,index.html,10,17,27,2016-09-15 08:13:30
6066,474915496d624c7154deccc0287da9c02256e36c,Make currentProgressStep param smarter by getting the default value from swal.getQueueStep(),Limon Monte,15,22,4,1ce6632097dc00cb0c7462b58b521eeac7cfd989,src/sweetalert2.js,3,3,6,2016-09-15 08:13:30
6067,474915496d624c7154deccc0287da9c02256e36c,Make currentProgressStep param smarter by getting the default value from swal.getQueueStep(),Limon Monte,15,22,4,b1612fa5e037c89be508d2f5693eb964a7e66931,src/utils/default.js,1,1,2,2016-09-15 08:13:30
6068,c30f8dd683264f4e566fe866b2fe0f633c17d30e,Add new example of dynamic queues usage,Limon Monte,47,1,1,f5a0f979946311777cac70d39d18cc5d0d473c14,index.html,47,1,48,2016-09-14 15:19:42
6069,a80347f8a6f243fb6d58319c5709184fe3dfc628,Remove State Machine docs.,Limon Monte,0,17,1,134b5c325aee2c3f8a3624a92df8e78ad0c00143,README.md,0,17,17,2016-09-14 14:47:40
6070,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,38540520cad9e373f19fcb5d6bca850f461873cb,dist/sweetalert2.common.js,42,47,89,2016-09-14 14:45:40
6071,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,55beed85121845c9f4626381a586e8c5e47e1737,dist/sweetalert2.css,36,4,40,2016-09-14 14:45:40
6072,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,8306ab82daa5a891399dcd92686103ae3a362b5f,dist/sweetalert2.js,42,47,89,2016-09-14 14:45:40
6073,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,2f079f92f3c7a97c36aa5c1c2f4d546384106fee,dist/sweetalert2.min.css,1,1,2,2016-09-14 14:45:40
6074,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,a822fe6a9bedfe391984d6f5a9af7b8f5d605191,dist/sweetalert2.min.js,1,1,2,2016-09-14 14:45:40
6075,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,5842907978c35bd808b2857d827f5ae630938f95,dist/sweetalert2.min.js.gz,0,0,0,2016-09-14 14:45:40
6076,9605b7889ac9db00183bc42e229814dbdfa3cbbc,v4.3.0,Limon Monte,123,101,7,4bcec865e41ca8ef328636fdc955b4e810460d44,package.json,1,1,2,2016-09-14 14:45:40
6077,b678b5bb79f48167e72fc6ee045fc2243847d8b6,Simplify dynamic queues by adding swal.insertQueueStep() and swal.deleteQueueStep() (#285),Limon Monte,111,328,7,c9fb25fa2478952e82841ff269afeadc25aa38b4,README.md,4,1,5,2016-09-14 14:44:53
6078,b678b5bb79f48167e72fc6ee045fc2243847d8b6,Simplify dynamic queues by adding swal.insertQueueStep() and swal.deleteQueueStep() (#285),Limon Monte,111,328,7,0500da9830bc18ee2ec5b4ff61be4a4f3bc86561,docs/example.css,0,3,3,2016-09-14 14:44:53
6079,b678b5bb79f48167e72fc6ee045fc2243847d8b6,Simplify dynamic queues by adding swal.insertQueueStep() and swal.deleteQueueStep() (#285),Limon Monte,111,328,7,c10812cc8158d4423943e8ba07f376f57d7f4acb,docs/example.scss,0,5,5,2016-09-14 14:44:53
